Time	"Time Code"	"Country Name"	"Country Code"	"Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]"	"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]"	"GDP (current US$) [NY.GDP.MKTP.CD]"	"Individuals using the Internet (% of population) [IT.NET.USER.ZS]"	"Maternal mortality ratio (modeled estimate, per 100,000 live births) [SH.STA.MMRT]"	"Refugee population by country or territory of origin [SM.POP.REFG.OR]"	"Unemployment, female (% of female labor force) (modeled ILO estimate) [SL.UEM.TOTL.FE.ZS]"	"Unemployment, male (% of male labor force) (modeled ILO estimate) [SL.UEM.TOTL.MA.ZS]"	"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]"	"CO2 emissions (kt) [EN.ATM.CO2E.KT]"	"Forest area (% of land area) [AG.LND.FRST.ZS]"	"Methane emissions (kt of CO2 equivalent) [EN.ATM.METH.KT.CE]"	"Nitrous oxide emissions (% change from 1990) [EN.ATM.NOXE.ZG]"	"Number of deaths ages 5-14 years [SH.DTH.0514]"	"Number of infant deaths [SH.DTH.IMRT]"	"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) [EN.ATM.PM25.MC.ZS]"	"Population growth (annual %) [SP.POP.GROW]"	"Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS]"	"Population ages 0-14, female [SP.POP.0014.FE.IN]"	"Population ages 0-14, female (% of female population) [SP.POP.0014.FE.ZS]"	"Population ages 0-14, male (% of male population) [SP.POP.0014.MA.ZS]"	"Population ages 0-14, total [SP.POP.0014.TO]"	"Population ages 15-64, female (% of female population) [SP.POP.1564.FE.ZS]"	"Population ages 15-64, male (% of male population) [SP.POP.1564.MA.ZS]"	"Population ages 15-64 (% of total population) [SP.POP.1564.TO.ZS]"	"Population, total [SP.POP.TOTL]"	"Suicide mortality rate, male (per 100,000 male population) [SH.STA.SUIC.MA.P5]"	"Suicide mortality rate, female (per 100,000 female population) [SH.STA.SUIC.FE.P5]"	"Suicide mortality rate (per 100,000 population) [SH.STA.SUIC.P5]"	"Population density (people per sq. km of land area) [EN.POP.DNST]"	"Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS]"	"Armed forces personnel (% of total labor force) [MS.MIL.TOTL.TF.ZS]"	"Employers, female (% of female employment) (modeled ILO estimate) [SL.EMP.MPYR.FE.ZS]"	"Employers, male (% of male employment) (modeled ILO estimate) [SL.EMP.MPYR.MA.ZS]"	"Employers, total (% of total employment) (modeled ILO estimate) [SL.EMP.MPYR.ZS]"	"International migrant stock, total [SM.POP.TOTL]"	"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate) [SL.TLF.CACT.MA.ZS]"	"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate) [SL.TLF.CACT.ZS]"	"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate) [SL.TLF.CACT.FE.ZS]"	"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate) [SL.TLF.ACTI.1524.MA.ZS]"	"Labor force participation rate for ages 15-24, female (%) (national estimate) [SL.TLF.ACTI.1524.FE.NE.ZS]"	"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate) [SL.TLF.ACTI.1524.ZS]"
2010	"YR2010"	"Afghanistan"	"AFG"	"39.829"	"5.977"	"15856574731.4411"	"4"	"954"	"3054709"	"2.92000007629395"	"1.96099996566772"	"2.27500009536743"	"8463.436"	"2.06782464846981"	"13493.3"	"22.1366812744285"	"8962"	"74766"	"100"	"2.74657628012835"	"48.1781454062114"	"6868888"	"48.2035585874985"	"48.1539133338815"	"14061036"	"49.2881807441602"	"49.689811483262"	"49.4937230317774"	"29185507"	"8.6"	"1.4"	"5.1"	"44.7040820390283"	"14.8398059645804"	"3.20498757910615"	"0.115000002086163"	"0.671999990940094"	"0.490000009536743"	"102246"	"82.7040023803711"	"63.2919998168945"	"42.7350006103516"	"71.2770004272461"	""	"54.1269989013672"
2010	"YR2010"	"Albania"	"ALB"	"12.001"	"1.66"	"11926953213.6961"	"45"	"21"	"14772"	"15.8819999694824"	"12.7629995346069"	"14.0860004425049"	"4598.418"	"28.3321163428091"	"2592.37"	"-27.9813934264987"	"128"	"422"	"100"	"-0.49646196338738"	"22.4550826095997"	"308516"	"21.3419223068831"	"23.5517161503716"	"654121"	"67.6745996646527"	"66.1357594399718"	"66.8995119780273"	"2913021"	"9.5"	"6.1"	"7.8"	"106.314635036496"	"37.1153297675702"	"1.20276231556829"	"0.453000009059906"	"2.36100006103516"	"1.56900000572205"	"52784"	"62.984001159668"	"54.2709999084473"	"45.693000793457"	"37.9980010986328"	"27.1786003112793"	"32.4690017700195"
2010	"YR2010"	"Algeria"	"DZA"	"24.504"	"2.86"	"161207268655.392"	"12.5"	"115"	"6689"	"19.0900001525879"	"8.10599994659424"	"9.96000003814697"	"119177.5"	"0.805293608874184"	"47575.5"	"47.007196130987"	"2577"	"20342"	"100"	"1.80501869558372"	"27.2827802855983"	"4805296"	"26.9716572507404"	"27.5880055238154"	"9815650"	"67.2763177960867"	"67.2459991982979"	"67.2610138766069"	"35977455"	"4.9"	"1.8"	"3.3"	"15.1055341892902"	"0.258071761617743"	"2.86212773390946"	"1.50899994373322"	"4.08900022506714"	"3.69700002670288"	"244964"	"70.0459976196289"	"42.3619995117188"	"14.378999710083"	"46.6980018615723"	"8.93000030517578"	"28.2409992218018"
2010	"YR2010"	"American Samoa"	"ASM"	"18.7"	""	"576000000"	""	""	""	""	""	""	""	"88.5499954223635"	"12.858"	"2458.63357389009"	""	""	"100"	"-1.07129312461534"	""	""	""	""	""	""	""	""	"56079"	""	""	""	"280.395"	"0"	""	""	""	""	"23555"	""	""	""	""	""	""
2010	"YR2010"	"Andorra"	"AND"	"9.8"	"1.27"	"3355695364.23841"	"81"	""	"6"	""	""	""	"517.047"	"34.0425531914894"	""	"0"	"1"	"3"	"99.9566358235583"	"-0.0165766790187245"	""	""	""	""	""	""	""	""	"84449"	""	""	""	"179.678723404255"	"19.090729970947"	""	""	""	""	"52053"	""	""	""	""	""	""
2010	"YR2010"	"Angola"	"AGO"	"45.656"	"6.194"	"83799496611.2004"	"2.8"	"326"	"134858"	"9.55599975585938"	"8.62399959564209"	"9.08899974822998"	"29057.308"	"46.9078366888586"	"18602.4"	"-79.8577270612435"	"16772"	"79169"	"100"	"3.67146240136924"	"47.0416136223261"	"5517269"	"46.728915208559"	"47.3613023568488"	"10987155"	"50.6358362899203"	"50.5585501153016"	"50.5976302869905"	"23356246"	"8.7"	"2.8"	"5.7"	"18.7344557632149"	"54.1938366242148"	"1.21578652035663"	"2.47399997711182"	"5.8439998626709"	"4.16800022125244"	"76549"	"80.4649963378906"	"77.802001953125"	"75.306999206543"	"58.4049987792969"	"58.810001373291"	"57.9959983825684"
2010	"YR2010"	"Antigua and Barbuda"	"ATG"	"16.547"	"1.988"	"1152469074.07407"	"47"	"44"	"30"	""	""	""	"524.381"	"22.2727277062156"	"42.4249"	"51.498536657652"	"3"	"11"	"100"	"1.46706374334825"	"24.3399827327668"	"10607"	"23.1028924899808"	"25.6897288570208"	"21426"	"69.1845269210664"	"67.3393798375991"	"68.3021311400918"	"88028"	"0.5"	"0"	"0.3"	"200.063636363636"	"0"	""	""	""	""	"26412"	""	""	""	""	""	""
2010	"YR2010"	"Argentina"	"ARG"	"18.154"	"2.346"	"423627422092.49"	"45"	"51"	"557"	"9.21199989318848"	"6.67899990081787"	"7.71400022506714"	"187919.082"	"10.449119191432"	"86741.6"	"35.1543197456843"	"1802"	"9545"	"99.4476413232427"	"0.752213052268901"	"26.0359584535822"	"5215061"	"24.9025098823641"	"27.23196043812"	"10619665"	"63.2593799114159"	"64.3067899085727"	"63.7690168895782"	"40788453"	"14.3"	"3.3"	"8.7"	"14.904301546759"	"8.96144595214523"	"0.570622209541729"	"2.90000009536743"	"5.58900022506714"	"4.50799989700317"	"1805957"	"74.322998046875"	"60.6100006103516"	"47.8330001831055"	"49.6360015869141"	"32.5227012634277"	"41.0029983520508"
2010	"YR2010"	"Armenia"	"ARM"	"15.304"	"1.722"	"9260284937.79782"	"25"	"32"	"17547"	"21.2919998168945"	"17.0900001525879"	"19.007999420166"	"4217.05"	"11.6262732701089"	"3328.72"	"22.4503862059406"	"72"	"733"	"100"	"-0.37371186678708"	"19.4606854505879"	"260858"	"17.0387527327571"	"22.2148607606783"	"559946"	"70.6853790718652"	"68.249290118253"	"69.5454692371614"	"2877319"	"10.1"	"2.4"	"6"	"101.064945556726"	"9.35981700562644"	"4.02432218928693"	"0.129999995231628"	"0.824999988079071"	"0.517000019550323"	"221560"	"71.6169967651367"	"59.5419998168945"	"49.5870018005371"	"41.5719985961914"	"28.826000213623"	"34.9389991760254"
2010	"YR2010"	"Aruba"	"ABW"	"11.214"	"1.768"	"2390502793.29609"	"62"	""	""	""	""	""	"2508.228"	"2.33333326048321"	"22.7407"	"-46.1956151252484"	""	""	""	"0.210708807602047"	"20.8736192939834"	"10405"	"19.5582706766917"	"22.3171360775818"	"21222"	"69.1672932330827"	"68.4782832972248"	"68.8380922405059"	"101669"	""	""	""	"564.827777777778"	"5.46471590573899"	""	""	""	""	"34327"	""	""	""	""	""	""
