Time	"Country Name"	"GDP per capita, PPP (current international $)"	"Suicide mortality rate (per 100,000 population)"	"Renewable energy consumption (% of total final energy consumption)"	"Terrestrial and marine protected areas (% of total territorial area)"	"Forest area (% of land area)"	"Total natural resources rents (% of GDP)"	"Life expectancy at birth, total (years)"	"Probability of dying at age 5-14 years (per 1,000 children age 5)"	"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)"	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	"Fertility rate, total (births per woman)"	"Maternal mortality ratio (national estimate, per 100,000 live births)"	"Birth rate, crude (per 1,000 people)"	"Refugee population by country or territory of origin"	"Refugee population by country or territory of asylum"	"International migrant stock (% of population)"	"CO2 emissions (kt)"	"Methane emissions (kt of CO2 equivalent)"	"Armed forces personnel, total"	"Military expenditure (% of GDP)"
2010	"Afghanistan"	"1637.37798708028"	"5.1"	"14.8398059645804"	"NA"	"2.06782464846981"	"0.588007289736588"	"61.028"	"10"	"NA"	"65.2455916800454"	"5.977"	"330"	"39.829"	"3054709"	"6434"	"0.365657832373532"	"8463.436"	"13493.3"	"306800"	"1.94583653549399"
2010	"Albania"	"9628.02578340836"	"7.8"	"37.1153297675702"	"NA"	"28.3321163428091"	"2.03375254261451"	"76.562"	"2.6"	"NA"	"21.2778281243428"	"1.66"	"NA"	"12.001"	"14772"	"76"	"1.8189568635262"	"4598.418"	"2592.37"	"14745"	"1.55859189302343"
2010	"Algeria"	"12655.1374103049"	"3.3"	"0.258071761617743"	"NA"	"0.805293608874184"	"26.9175672763786"	"74.938"	"4.3"	"NA"	"33.6358202624012"	"2.86"	"NA"	"24.504"	"6689"	"94144"	"0.67977278044533"	"119177.5"	"47575.5"	"317200"	"3.51801260882618"
2010	"American Samoa"	"NA"	"NA"	"0"	"NA"	"88.5499954223635"	"0"	"NA"	"NA"	"NA"	"15.0727217319968"	"NA"	"NA"	"18.7"	"NA"	"NA"	"42.3376950176145"	"NA"	"12.858"	"NA"	"NA"
2010	"Andorra"	"NA"	"NA"	"19.090729970947"	"NA"	"34.0425531914894"	"0"	"NA"	"1.1"	"NA"	"12.8071974989972"	"1.27"	"NA"	"9.8"	"6"	"NA"	"61.6602897451995"	"517.047"	"NA"	"NA"	"NA"
2010	"Angola"	"6230.29702791298"	"5.7"	"54.1938366242148"	"NA"	"46.9078366888586"	"39.0039467591209"	"55.35"	"24.6"	"NA"	"33.7872471854573"	"6.194"	"NA"	"45.656"	"134858"	"15155"	"0.36074065005042"	"29057.308"	"18602.4"	"117000"	"4.17758478019843"
2010	"Antigua and Barbuda"	"20134.8172469042"	"0.3"	"0"	"NA"	"22.2727277062156"	"0"	"75.823"	"2"	"NA"	"22.5288761062762"	"1.988"	"NA"	"16.547"	"30"	"NA"	"30.2775325851455"	"524.381"	"42.4249"	"170"	"NA"
2010	"Argentina"	"18524.8567559266"	"8.7"	"8.96144595214523"	"NA"	"10.449119191432"	"3.48413077975889"	"75.278"	"2.6"	"NA"	"16.8591006158722"	"2.346"	"44"	"18.154"	"557"	"3276"	"4.38095838778833"	"187919.082"	"86741.6"	"104340"	"0.814878105497939"
2010	"Armenia"	"6565.67866039471"	"6"	"9.35981700562644"	"NA"	"11.6262732701089"	"2.99212855719848"	"73.331"	"2"	"NA"	"37.5300409299361"	"1.722"	"9"	"15.304"	"17547"	"3296"	"7.47630501272821"	"4217.05"	"3328.72"	"55528"	"4.26564605593771"
2010	"Aruba"	"33732.847449979"	"NA"	"5.46471590573899"	"NA"	"2.33333326048321"	"0.00236128359145529"	"75.017"	"NA"	"NA"	"NA"	"1.768"	"NA"	"11.214"	"NA"	"NA"	"33.7874149827259"	"2508.228"	"22.7407"	"NA"	"NA"
2010	"Australia"	"39324.3689530042"	"12.5"	"8.10902729265093"	"NA"	"16.0382958228655"	"9.86321357697109"	"81.6951219512195"	"1"	"NA"	"10.6188794048093"	"1.928"	"NA"	"13.7"	"37"	"21805"	"26.5443142431553"	"390861.863"	"122574"	"56552"	"1.86239977396025"
2010	"Austria"	"42006.0468807427"	"16"	"30.6592165744001"	"NA"	"46.7476496906663"	"0.235505613374767"	"80.5804878048781"	"1"	"NA"	"15.1491399543527"	"1.44"	"NA"	"9.4"	"10"	"42630"	"15.2048871387536"	"67502.136"	"8391.49"	"25758"	"0.821232711530621"
2010	"Azerbaijan"	"15884.0447882908"	"3.1"	"4.44973428535868"	"NA"	"12.1987518806178"	"32.1887365914523"	"70.938"	"3.3"	"NA"	"23.0476012009805"	"1.92"	"NA"	"18.3"	"16753"	"1891"	"3.04290391106797"	"30678.122"	"18400.5"	"81940"	"2.79100435652891"
2010	"Bahamas, The"	"29099.0572097207"	"2"	"1.65566801996177"	"NA"	"51.4485514485514"	"0.015294777644818"	"72.144"	"2.9"	"NA"	"21.1105136971362"	"1.865"	"NA"	"15.045"	"17"	"28"	"15.1694703877172"	"1653.817"	"222.181"	"860"	"NA"
2010	"Bahrain"	"39740.617935131"	"5.2"	"0"	"NA"	"0.695538048052372"	"6.01051209818322"	"76.057"	"2.3"	"NA"	"65.6308809736381"	"2.164"	"NA"	"16.547"	"87"	"165"	"52.1561952210345"	"29266.327"	"3312.28"	"19460"	"3.27775894439762"
2010	"Bangladesh"	"2466.90294873953"	"6.4"	"41.0508417943633"	"NA"	"11.0778213105938"	"1.20846730640093"	"69.881"	"9.5"	"NA"	"70.7649956561969"	"2.324"	"220"	"21.107"	"10049"	"229253"	"0.887465112122783"	"59937.115"	"103080"	"220953"	"1.32083739648164"
2010	"Barbados"	"16164.9811646958"	"2.1"	"9.03133448365998"	"NA"	"14.6511632342671"	"0.369787083928664"	"78.364"	"2.2"	"NA"	"28.2168144128082"	"1.687"	"NA"	"11.748"	"32"	"NA"	"11.741413476603"	"1477.801"	"107.243"	"610"	"NA"
2010	"Belarus"	"15927.8747037149"	"38.2"	"7.01637018392482"	"NA"	"42.0601281419418"	"1.30547786744943"	"70.4048780487805"	"2"	"NA"	"23.3194095815656"	"1.494"	"1"	"11.4"	"5743"	"589"	"11.4871890605704"	"63043.064"	"16437.5"	"182940"	"1.3413834329232"
2010	"Belgium"	"39836.8977087435"	"21.3"	"5.83739147556669"	"NA"	"22.4966978932309"	"0.0191830243534195"	"80.1829268292683"	"1"	"NA"	"16.0093192335248"	"1.86"	"NA"	"11.9"	"83"	"17892"	"9.63262689092329"	"110824.074"	"9632.35"	"35736"	"1.08463286136283"
2010	"Belize"	"7555.20430832874"	"4.9"	"33.7103437031445"	"NA"	"60.9991238337764"	"5.28736884758494"	"72.057"	"3.6"	"NA"	"28.2730541965825"	"2.69"	"55.3"	"23.402"	"23"	"134"	"14.4150194801762"	"539.049"	"224.011"	"1050"	"1.09779185455587"
